mileage,transmission,body_type,engine_size,year,id,description,type,date_posted,series,geolocation,seats,reference_number,views,color,scrape_date(dd/mm/yyyy),fuel_type,condition
,Automatic,"Pickup
                            
                          ",2500 cc,2012,280532,Vehicle is in good condition. Buy and drive,cars,Yesterday 17:50,"TCW
                            
                          ",,"5
                            
                          ",,173,Gray,14/01/2022,"Diesel
                            
                          ",
99567 km,Manual,"Pickup
                            
                          ",2700 cc,2014,277107,Transfer included. Call for details.,cars,Yesterday 13:56,"TDD
                            
                          ",,"3
                            
                          ",,86,White,14/01/2022,"Diesel
                            
                          ",
44000 km,Automatic,"Saloon
                            
                          ",1600 cc,2019,280458,188814,cars,Yesterday 13:31,"PDU
                            
                          ",,"5
                            
                          ",,158,Gray,14/01/2022,"Petrol
                            
                          ",
69900 km,Automatic,"Saloon
                            
                          ",1500 cc,2012,277890,"Lady driven. New battery and serviced regularly. Interior in good condition, mild scratches on exterior. Car works great/ owner is upgrading.",cars,Yesterday 14:07,"PCX
                            
                          ",,"5
                            
                          ",,449,Black,14/01/2022,"Petrol
                            
                          ",
79000 km,Automatic,"SUV
                            
                          ",1500 cc,2017,280460,Nissan X-TRAIL Hybrid ,cars,Yesterday 13:44,"PDS
                            
                          ",,"5
                            
                          ",,103,Orange,14/01/2022,"Hybrid
                            
                          ",
95000 km,Automatic,"Saloon
                            
                          ",1600 cc,2010,280462,Make:Toyota,cars,Yesterday 13:53,"PCM
                            
                          ",,"5
                            
                          ",,151,Blue,14/01/2022,"Petrol
                            
                          ",
127753 km,Automatic,"Saloon
                            
                          ",1600 cc,2012,280468,Good quality,cars,Yesterday 14:33,"PCW
                            
                          ",,"5
                            
                          ",,145,Black,14/01/2022,"Petrol
                            
                          ",
,Manual,"Pickup
                            
                          ",,2008,280469,In good working condition,cars,Yesterday 14:35,"TCL
                            
                          ",,,,177,White,14/01/2022,"Diesel
                            
                          ",
,Automatic,"HatchBack
                            
                          ",1200 cc,2019,280464,"Air Condition, Air Bag, Cameras And Sensors, Fabric Interior, ABS, Power Windows, Power Steering",cars,Yesterday 13:57,"Swift 
                            
                          ",,"5
                            
                          ",,99,White,14/01/2022,"Petrol
                            
                          ",
6500 km,Automatic,"Saloon
                            
                          ",1400 cc,2016,280441,Touchscreen deck with reverse camera,cars,Yesterday 12:05,"PEA
                            
                          ",,"5
                            
                          ",,64,White,14/01/2022,"Petrol
                            
                          ",
64000 km,Automatic,"SUV
                            
                          ",3000 cc,2015,280442,Audi Q7,cars,Yesterday 12:17,"PDJ
                            
                          ",,"5
                            
                          ",,136,Silver,14/01/2022,"Petrol
                            
                          ",
,Automatic,"SUV
                            
                          ",,2012,280444,Executive Toyota Land Cruiser Prado VX.,cars,Yesterday 12:19,"PCW
                            
                          ",,"7
                            
                          ",,143,Black,14/01/2022,"Diesel
                            
                          ",
,Automatic,"Saloon
                            
                          ",1600 cc,2009,280452,NZE ,cars,Yesterday 12:57,"PBY
                            
                          ",,"5
                            
                          ",,128,White,14/01/2022,"Natural gas
                            
                          ",
100000 km,Automatic,"Saloon
                            
                          ",1500 cc,2000,280426,good,cars,Yesterday 11:13,"PBT
                            
                          ",,"5
                            
                          ",,83,Bronze,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",,2014,280438,Mercedes Benz C-180 AMG. PDU Series. NO PAYMENT PLANS. NO TRADES. ,cars,Yesterday 11:55,"PDU
                            
                          ",,"5
                            
                          ",,180,White,14/01/2022,"Natural gas
                            
                          ",
121000 km,Automatic,"Saloon
                            
                          ",1500 cc,2009,280433,LOCAL (Not foreign used). One owner. ,cars,Yesterday 11:35,"PCM
                            
                          ",,"5
                            
                          ",,58,White,14/01/2022,"Petrol
                            
                          ",
93000 km,Automatic,"HatchBack
                            
                          ",1600 cc,2017,280429,"vehicle in immaculate condition no issues, no accidents, very well maintained, both keys, 1 owner",cars,Yesterday 11:22,"PDR
                            
                          ",,"5
                            
                          ",,131,Gray,14/01/2022,"Hybrid
                            
                          ",
89000 km,Automatic,"Saloon
                            
                          ",1800 cc,2011,66743,Mercedes Benz w204 c200 forsale  ,cars,Yesterday 09:35,"PDL
                            
                          ",,"5
                            
                          ",,2760,Silver,14/01/2022,"Petrol
                            
                          ",
86200 km,Automatic,"SUV
                            
                          ",1600 cc,2015,280391,"Features: Air Condition, Power Windows, Power Locks, Power Steering, Anti-Locking Brakes, Airbags, Projector Lights, LED Running Lights, Fog Lamps, Chrome Accessories, USB Deck, Bluetooth, Alloy Rims, Chrome Exhaust, Side Steps, Sunroof, Tint, Alarm, Push Button Start, Steering Controls, Reverse Sensors, Leather Interior.",cars,Yesterday 09:35,"PDE
                            
                          ",,"5
                            
                          ",,71,Brown,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,1999,280395,"fully powered, excellent condition, paper work in order.  call 392 6522",cars,Yesterday 09:46,"PBP
                            
                          ",,"5
                            
                          ",,176,White,14/01/2022,"Petrol
                            
                          ",
